Id,Category,Tweet
6.3577E+17,negative,Not Available
6.3593E+17,neutral,IOS 9 App Transport Security. Mm need to check if my 3rd party network pod supports it http://t.co/fmtcfUAdgj
6.3595E+17,neutral,"Mar if you have an iOS device, you should download our app too: http://t.co/gl3tn2uDnD"
6.36031E+17,negative,@jimmie_vanagon my phone does not run on latest IOS which may account for problem the other day .. time it was replaced
6.36101E+17,positive,Not sure how to start your publication on iOS? We'll be live helping with ask me anything sessions today and Friday http://t.co/KPqqGjjh3x
6.36176E+17,neutral,"Two Dollar Tuesday is here with Forklift 2, QuickKey for iOS and Suite for Pages for just $1.99 today:   http://t.co/BNMFOEACw5"
6.36276E+17,neutral,"If you're not already signed up to test my iOS game, nows your chance! https://t.co/eZhIU6EDpQ"
6.36302E+17,neutral,"YouTube Gaming Officially Launches On Web, Android, iOS On August 26: YouTube is finally going to r... http://t.co/qbhyA3kaWP #webseries"
6.36356E+17,neutral,YouTube Gaming Launches Tomorrow with iOS and Android Apps to Go Head-to-Head with Twitch http://t.co/yZOATToeJC #ios #game
6.3636E+17,neutral,@astrill Yashan from BBC @bbcchinese the VPN access on IOS may be limited during China's military parade? Any chance to have a chat on that?
6.36441E+17,positive,Parkrun app for iOS downloaded Where have you been before ?Great app easier access of info &amp; ready for Saturday's run http://t.co/ZyOFhZeRIO
6.36484E+17,positive,"Today @YouTubeGaming launches, with apps for iOS and Android devices in the US and UK, here is what you need to know http://t.co/Kf8DgnHX9b"
6.36568E+17,positive,Got a project you want to work on? Need help with Swift? Need an excuse to hang with iOS devs on a Sat? Hang with us! http://t.co/pUWsKbDfWe
6.36724E+17,positive,"Met with iOS Developer today. We may have a ""go"". 8-)"
6.36828E+17,positive,#CrossSkyHigh is going IOS #saturday. For now try this http://t.co/Jrc6ktK9rT #indiedev @GamerRTer @ShoutGamers http://t.co/bkWUjKEmju
6.36878E+17,positive,What's the best way to get audio recordings from a 3rd party app off of an iOS device? Jailbreaking isn't an option.
6.36908E+17,positive,Five Great Free Apps and Games for iOS - August 27th Edition:  It's that time of the week again... http://t.co/QGkrIrKI28 #News #LCHBuzz
6.37004E+17,neutral,"@clayrussell @Nostradamion looks interesting but I've ALWAYS ended up back on iOS keyboard, always glitches with iOS 8/9 3rd party ones"
6.37018E+17,positive,"See news through the eyes of real people &amp; be your own reporter with Fresco 2.0 for iOS, coming September 8th! http://t.co/IfLPLqqsmy"
6.37086E+17,positive,Siri knows all about #Apple's iOS event on the 9th. #GiveUsAHint http://t.co/sHmTw46ELR
6.37103E+17,positive,"Who's ready for 0.12.1 Build 12 Tomorrow, Might be the last build till it come to iOS !"
6.37177E+17,positive,"@facebook As I've been on FB for many years, I have a few hundred photo albums, but only the 1st 200 appear in the IOS app. Is that right?"
6.37245E+17,positive,@Yurt try beat mp3 it may be on android i have it on ios and its fairly decent
6.37269E+17,positive,@androidcentral Even though there are other differences in the IOS features this still may make people lean a little more towards Apple.
6.37334E+17,neutral,Huawei Watch Pre-Order Suggests Android Wear Coming To iOS: IPhone owners who want to use Android Wear may soo... http://t.co/JQhdN5tCUV
6.37424E+17,neutral,SpeedeNews: Rumor: Android Wear will soon work with iOS - Android Wear may be very close to working with iOS. That... http://t.co/pq0g0Z3eOy
6.37515E+17,neutral,"Over here in NW near 11th &amp; Rhode Island, if you need a Lyft let me know !  Download the LYFT app for IOS or Android !"
6.37559E+17,neutral,@NarisDRIFT @T_Dogg_94ebooks I wish that CustomFolderIcons worked on iOS 5.1.1 and it was received on December 11th.
6.37567E+17,neutral,So today i checked my old iPod 4th gen which is on iOS 6.1.6 and it can't be upgraded further and i randomly open twitter
6.37582E+17,negative,"@_tomcc @bartwerf please stop walking and work !! You have more than one month of late --"" The update was annonced the 29 of july, IOS wait!"
6.37615E+17,positive,"@notch  Hi i have heard that they said MCPE update 0,12,0/0,12,1 will come today 29 august to ios but i cant see that there is the update:)"
6.37879E+17,neutral,@Terraria_Logic do you have any news of an update in October for ios and android users
6.37977E+17,neutral,"@alexdong a follow-on guess might be that if you are female, with an iOS device, visiting the site, you may have more disposable income?"
6.38206E+17,positive,@tim_cook loving my new iPhone 6 from T-Mobile I'm in love with iOS! Can't wait for the Sept 9th event
6.38381E+17,neutral,@M3RKMORK @MKBHD all Android wear is comparable with iOS now I believe. I may be wrong though
6.38407E+17,neutral,Google Expands Android Wear Smartwatch Platform to iOS -  Google on Monday rolled out Android Wear smartwatch harmony with ...
6.38427E+17,negative,"@DeltaAssist yes, I asked an attendant to print out a paper pass. But this was not the 1st time delta IOS app lost my login info. Annoying."
6.3843E+17,positive,The two companies announced a partnership Monday aimed at making iOS devices and apps more compatible with... http://t.co/VeEFWrIUA9 #FF
6.38459E+17,positive,@rwang0 zeroes in on the latest in a short video. Making iPhone &amp; iOS great for enterprises. 1st @IBM &amp; now @Cisco. https://t.co/pheh3U4uxE
6.3846E+17,neutral,To all Nintendo fans out there; I may sound crazy when I say this but Kirby and the rainbow curse and/or Kirby canvas curse should be on iOS
6.38551E+17,neutral,"Apple hasn't ever focused on gaming, but has enjoyed incredible success with iOS gaming. Apple TV may focus on games: http://t.co/Qn3wgy1KU7"
6.3859E+17,neutral,@TimRaphael215 may want to pick your brains - looking to get into iOS dev myself.
6.38614E+17,positive,The Orks are here to tell you that we're gunning for a Sept 30th release of Herald of Oblivion on iOS and Android! http://t.co/ZwGO1iDqo0
6.38704E+17,neutral,"@deba1602 3rd party app on iOS, Does it add a keyboard or you have to type -&gt; copy -&gt; paste ? @debabrata2008"
6.38776E+17,neutral,M/T Webroot: Have a jailbroken iOS device? You may want to reconsider. http://t.co/2QFA6jFLNf
6.38828E+17,neutral,"@icj_ i have the Ipod Touch 5th and i have the IOS 8.4.1,ofc i cant downgrade because 8.4 is not being signded,so now what i supposed to do?"
6.38857E+17,positive,"@arekdreyer Making my way through your Managing iOS and Macs 2nd Ed. book. Great read, really well done! Thanks for doing this; keep it up."
6.38887E+17,neutral,"Google's Android Wear for iOS confirmed incompatible with Apple's HealthKit: In announcing Android Wear for iOS on Monday, Google not..."
