,,,,,Original variables,,,,,,,,,,,first order lag variables,,,,,,,,,,,SEVENTH ORDER LAG VARIABLES,,,,,,,,,,
date,Quarter,Month,Weekday,End-of-Month Indicator,TV Advertising,Direct Marketing,Print Advertisting,Internet Advertising,Incentives,Co-Op Promotions,Competitive Incentives,Web Traffic,Showroom Traffic,Test Drives,Sales,LAG1_TV Advertising,LAG1_Direct Marketing,LAG1_Print Advertisting,LAG1_Internet Advertising,LAG1_Incentives,LAG1_Co-Op Promotions,LAG1_Competitive Incentives,LAG1_Web Traffic,LAG1_Showroom Traffic,LAG1_Test Drives,LAG1_Sales,,,,,,,,,,,
4/1/2010,1,1,5,0,21.2813212,37.2109909,31.86175969,47.2109909,7.809204913,6.47E-06,33.96408394,16.23823101,3.778315264,1.993461294,235.4820115,0.584839792,21.68862984,9.96128288,7.792419896,10.3516515,3.71E-31,31.61334949,11.15908277,3.562583584,2.044149306,99.63519537,,,,,,,,,,,
5/1/2010,1,1,6,0,19.24736393,6.698312694,28.4687064,16.69831269,12.5090584,1.59E-21,55.39087855,17.03168522,4.226083013,2.079991175,212.6403171,21.2813212,37.2109909,31.86175969,47.2109909,7.809204913,6.47E-06,33.96408394,16.23823101,3.778315264,1.993461294,235.4820115,,,,,,,,,,,
6/1/2010,1,1,7,0,23.00724672,35.68552295,20.69223426,27.12368197,18.56725373,1.11E-10,27.38451698,16.50618534,4.150879434,2.125485372,279.7752158,19.24736393,6.698312694,28.4687064,16.69831269,12.5090584,1.59E-21,55.39087855,17.03168522,4.226083013,2.079991175,212.6403171,,,,,,,,,,,
7/1/2010,1,1,1,0,13.72766432,38.50543504,12.85416686,9.00362336,44.53521832,6.88E-17,61.11533797,14.3854895,4.257915357,2.129278157,217.1207842,23.00724672,35.68552295,20.69223426,27.12368197,18.56725373,1.11E-10,27.38451698,16.50618534,4.150879434,2.125485372,279.7752158,,,,,,,,,,,
8/1/2010,1,1,2,0,3.165796087,31.54574824,7.518406986,4.363832162,34.41884312,8.14E-27,67.1963679,9.589269902,3.866738959,2.094903182,103.7034614,13.72766432,38.50543504,12.85416686,9.00362336,44.53521832,6.88E-17,61.11533797,14.3854895,4.257915357,2.129278157,217.1207842,,,,,,,,,,,
9/1/2010,1,1,3,0,8.584788163,23.62434707,4.154828788,1.792394082,27.96393473,2.31E-29,61.2167951,8.571058227,3.52988844,2.00102414,109.9887208,3.165796087,31.54574824,7.518406986,4.363832162,34.41884312,8.14E-27,67.1963679,9.589269902,3.866738959,2.094903182,103.7034614,,,,,,,,,,,
10/1/2010,1,1,4,0,49.04301098,27.68859112,34.7903646,32.02150549,31.65782209,0.099999009,56.18813315,15.69202784,4.181618319,2.042713598,318.5553989,8.584788163,23.62434707,4.154828788,1.792394082,27.96393473,2.31E-29,61.2167951,8.571058227,3.52988844,2.00102414,109.9887208,,,,,,,,,,,
11/1/2010,1,1,5,0,48.00592018,58.03225823,47.30618591,49.69423711,25.73300309,0.1,69.2563435,19.95864185,4.597717168,2.17240072,355.061154,49.04301098,27.68859112,34.7903646,32.02150549,31.65782209,0.099999009,56.18813315,15.69202784,4.181618319,2.042713598,318.5553989,TV Advertising,Direct Marketing,Print Advertisting,Internet Advertising,Incentives,Co-Op Promotions,Competitive Incentives,Web Traffic,Showroom Traffic,Test Drives,Sales
12/1/2010,1,1,6,0,29.32880598,57.25444013,55.52160209,29.35003799,42.59818015,0.1,70.02679896,20.09551275,4.897073076,2.250743253,339.7723212,48.00592018,58.03225823,47.30618591,49.69423711,25.73300309,0.1,69.2563435,19.95864185,4.597717168,2.17240072,355.061154,21.2813212,37.2109909,31.86175969,47.2109909,7.809204913,6.47E-06,33.96408394,16.23823101,3.778315264,1.993461294,235.4820115
13-01-2010,1,1,7,0,44.43466049,43.24660449,10.55801911,32.06303771,48.87005241,0.01467007,68.10714881,18.13834804,4.653003408,2.256549163,304.6932491,29.32880598,57.25444013,55.52160209,29.35003799,42.59818015,0.1,70.02679896,20.09551275,4.897073076,2.250743253,339.7723212,19.24736393,6.698312694,28.4687064,16.69831269,12.5090584,1.59E-21,55.39087855,17.03168522,4.226083013,2.079991175,212.6403171
